feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD115,False,False,0.06931031470584,0.5567298985760654,8.032424913072225,0.010823998035488367,0.15767366002876868,13.111042366431073,0.16809028674911633,0.3464789105889608,0.2162214121365458,0.0010619450507805
Hu.CD116,True,False,0.14860196180473462,0.5360623122359354,3.6073703585443235,0.015284036530194915,0.10363881689774992,3.991254561449566,0.05116993027499443,0.297211977343994,0.132379689450397,0.1452798302035597
Hu.CD117,True,False,-0.1398627331405471,0.5406290780477966,3.8654262354827726,0.006782585914679098,0.04835240997868906,15.853736940944954,0.20325303770442246,0.2181502212017823,1.5575243705968863e-05,5.47762023257086e-05
Hu.CD119,False,False,-0.25974957113263036,0.48495440756609365,1.8670075390364043,0.002820367165827703,0.010855246196930138,,,0.3445433472644524,0.2025504073975105,0.0090506838916555
Hu.CD11a,True,False,1.1088809620339075,0.8072281217693128,0.7279664359001136,0.2581783805142568,0.2293061261690419,2.5143758486969223,0.0322355878038067,0.0053057277094697,0.0115995691426265,0.0421816306969041
Hu.CD11b,True,False,-0.7834019139338889,0.14557976504983286,0.18583023919203534,0.013547327819378271,0.01726622517099884,,,0.2328984548901353,0.3837927935020505,0.0169137775261124
Hu.CD11c,True,False,-0.7846423581711337,0.14333375005513446,0.18267398970050605,0.013260484874141224,0.01687535832172282,,,2.889379562111762e-06,0.4622808970644493,0.0105771755462627
Hu.CD122,True,False,-0.277263275212766,0.4830807853975408,1.742317964854288,0.003862955364296379,0.013928494285951084,,,0.2347503574912499,0.0120358130728058,0.000208864398268
Hu.CD123,True,False,-0.7828668561278941,0.14722160187895753,0.1880544574426414,0.01364362086951245,0.017401504361762576,,,3.5020583134267832e-06,0.4343501577299329,0.0102617494254376
Hu.CD124,True,False,0.7949105681646417,0.4809807536133587,0.6050753039098331,0.024463643555427687,0.0308735867193289,1.501268556530963,0.019247032776037988,0.3433756584478435,0.2235111379076619,0.0005868571327711
Hu.CD126,True,False,-0.13024735052402545,0.5440440439236377,4.177006608846782,0.008188044717067121,0.06252343672905084,,,0.2467675013648738,0.0102153521984704,1.780223261100602e-05
Hu.CD127,True,False,-0.31049038098162973,0.4805154819927571,1.547601830606105,0.015376677593709148,0.04959607775809436,,,0.3330799277992845,0.06941878793458,0.0003661647701037
Hu.CD13,True,False,-0.13796537220716656,0.5298802754675773,3.8406758666364316,0.01466095953751977,0.10530004820356254,,,0.3461343693263681,0.2108182388824504,0.0027986030593725
Hu.CD131,False,False,-0.3385014150183259,0.4733142787082876,1.3982638113423045,0.016401121909423708,0.04829737291056735,,,0.3441269833150939,0.1996475432315133,0.0113998144859225
Hu.CD133_S16016B,True,False,-0.3969620411895062,0.45452499141980623,1.1450087017333226,0.00839852284527557,0.021169832585646683,,,0.0018916658414536,0.0085520301294317,0.0034893995386695
