feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
Hu.CD254,0.2125295063960121,0.0003219208469281295,0.020614284856359973,0.11689545515802309,0.28194896684027776,0.3361159262445204,0.0005091185947660914,0.03260154115002374,0.18487044387616844,0.4459029701345213,True,
Hu.CD257,0.15082659153955916,0.0005042428465256407,0.0007425586896757124,0.09876573936024875,0.19045032542947335,0.3417860745396173,0.0011426578123226955,0.0016827020823644173,0.22381169003669088,0.4315768755290047,True,
Hu.CD26,2.822404648609155e-06,0.002075229822035597,0.0002314540366164333,0.010363877296277258,0.009799423380505384,0.00012559199463307876,0.09234404173757862,0.010299293596635842,0.4611741347624842,0.4360569379086682,True,
Hu.CD267,0.17413046706064053,0.0006141267931788391,0.00129884223037168,0.10660916146893977,0.22066046932091762,0.34596850056391604,0.0012201685861108814,0.002580585158335873,0.21181480967911803,0.4384159360125192,True,
Hu.CD268,0.007882566366031803,0.0012939304489866265,0.004071529757906298,0.00941345679559165,0.008404475099859051,0.25373646121545257,0.04165107122974569,0.13106081249838278,0.30301517351136537,0.2705364815450536,False,
Hu.CD269,0.0005469085739554197,0.0009544590616501798,0.001152492995865962,0.010491229502873718,0.17940574551830557,0.002840333422089152,0.004956919861786327,0.0059853959706775,0.05448550491777253,0.9317318458276744,True,
Hu.CD27,2.8978958898364686e-07,0.0016943820940483454,6.62288064355982e-05,0.00986740750016766,0.0187342845340269,9.5442965498803e-06,0.05580492118823898,0.00218126320887822,0.3249856687067793,0.6170186025995537,True,
Hu.CD270,0.21022761851688887,0.0009006754782374844,0.006688997749110532,0.1226235417534448,0.27132504228581095,0.343640642341564,0.001472255177822698,0.010933917719003022,0.20044194455338002,0.44351124020823024,True,
Hu.CD271,0.0005127329418259726,0.0029099098802580713,0.0001527591717221828,0.010501747440153952,0.08616241168225305,0.005115075685851548,0.029029555275929958,0.001523940947278098,0.10476649461761607,0.8595649334733243,True,
Hu.CD272,0.18690025845955166,0.0007992018588785915,0.0009619085711582966,0.11597300542134233,0.23531899579640264,0.34614147962887815,0.0014801312541483423,0.0017814660013457933,0.21478337175354398,0.43581355136208383,False,
Hu.CD273,0.00039490199636331295,0.0001714233553601551,0.0002060425921854794,0.0008532413262372733,0.3072256589906329,0.0012786154273774157,0.0005550352968452552,0.0006671256146874779,0.002762628533281066,0.9947365951278088,True,
