spearman,r2,rmse,prediction_observed_sd_ratio,calibration_slope,source,target,control,n_cells,n_participants,participant_id
0.07443443414619855,-0.08593392372131348,0.4089012928750787,0.13167958440841937,0.5603637618328178,GSE334503,CD319 (CRACC),cognate,6170,,HS22
0.08169652817250862,-0.18545949459075928,0.37937304658088344,0.1335662225633606,0.5476996641413876,GSE334503,CD319 (CRACC),cognate,4705,,HS24
0.10626875417621459,-0.0695871114730835,0.4514521269231571,0.14384934133661242,0.665969267279958,GSE334503,CD319 (CRACC),cognate,5100,,HS28
0.11167460578549218,-0.06392097473144531,0.39992116061737587,0.12914791184993368,0.9407392529991598,GSE334503,CD319 (CRACC),cognate,5338,,HS30
0.11396963198027607,-0.11036431789398193,0.4463405788079022,0.15314136208537482,0.5970912403053791,GSE334503,CD319 (CRACC),cognate,4821,,HS32
0.09112302937642013,-0.09061074256896973,0.4008241492915805,0.0920096890137264,0.9115804551405403,GSE334503,CD319 (CRACC),cognate,4619,,HS46
0.11194437158036395,-0.1070328950881958,0.3768298683852197,0.19218698395667727,0.4957067290830745,GSE334503,CD319 (CRACC),cognate,4185,,HS47
0.09426110182185082,-0.12188351154327393,0.4082715282895933,0.15288113232886716,0.6510467003818625,GSE334503,CD319 (CRACC),cognate,4761,,HS6
0.11836035973666059,-0.03510725498199463,0.3992193069006214,0.11295900938233018,0.9956226134770764,GSE334503,CD319 (CRACC),cognate,5350,,HS68
0.07771248730951644,-0.25483274459838867,0.4127297094176344,0.1191485223571332,0.6347173443557712,GSE334503,CD319 (CRACC),cognate,4783,,HS75
0.1524791532531978,-0.4392561912536621,0.44837058893973947,0.19523556668670028,0.7215325679183221,GSE334503,CD319 (CRACC),cognate,4613,,HS86
0.10952810322815093,-0.020125985145568848,0.4025894451863179,0.14958398256713776,0.7266110251787715,GSE334503,CD319 (CRACC),cognate,5422,,HS88
0.12952266181680694,-0.11203968524932861,0.3843360284106727,0.1240056956751089,1.0058447620354138,GSE334503,CD319 (CRACC),cognate,3835,,HS93
0.13820804130114275,-0.2611534595489502,0.4208214461501569,0.1647945079101491,0.743616925415531,GSE334503,CD319 (CRACC),cognate,5077,,HS94
0.12150445742502165,-0.016959786415100098,0.6812124574448412,0.1815492874045863,0.699067837011138,GSE334503,CD155 (PVR),cognate,84177,17.0,
-0.014998406899820167,-10.16345500946045,1.0545533836710903,0.38855814113789017,-0.023564422771543667,GSE334503,CD155 (PVR),noncognate,84177,17.0,
0.0951122959182426,-0.12785625457763672,0.6190931380198942,0.2188609285120011,0.41011153584128823,GSE334503,CD155 (PVR),cognate,5577,,HS10
0.08694512764875628,-0.01825690269470215,0.6641405845061414,0.15550198427127332,0.6175599933913973,GSE334503,CD155 (PVR),cognate,5436,,HS12
0.1757540932495242,0.031204819679260254,0.770908343471595,0.21603941130299348,0.8615993683796873,GSE334503,CD155 (PVR),cognate,4385,,HS16
0.13787764800559216,0.008059799671173096,0.7019488564320622,0.1904176880281145,0.7402393973878894,GSE334503,CD155 (PVR),cognate,6170,,HS22
0.08234597061934644,-0.03641211986541748,0.6717792708930328,0.1609978058557664,0.5257499101144846,GSE334503,CD155 (PVR),cognate,4705,,HS24
0.13511311344523355,0.00717538595199585,0.7070130193056541,0.16624793134896837,0.8691245618767511,GSE334503,CD155 (PVR),cognate,5100,,HS28
0.15304487731640876,-0.0036848783493041992,0.6985538667348601,0.18581412904624417,0.8914543150700779,GSE334503,CD155 (PVR),cognate,5338,,HS30
0.11591742935145495,-0.04725635051727295,0.6584793552589064,0.15582021599913518,0.7937039606867478,GSE334503,CD155 (PVR),cognate,4821,,HS32
0.07408393330842566,-0.06173539161682129,0.654214449572955,0.16750046798644164,0.46500020183123314,GSE334503,CD155 (PVR),cognate,4619,,HS46
0.09009992667370804,-0.1355297565460205,0.6504684951492166,0.13755435569611763,0.7512324798966844,GSE334503,CD155 (PVR),cognate,4185,,HS47
0.1480076159429001,0.01763784885406494,0.7196773268940939,0.19689155631959138,0.759766828098402,GSE334503,CD155 (PVR),cognate,4761,,HS6
0.10269076947446594,-0.05243062973022461,0.6496240720846872,0.1795305754027793,0.5574636592620686,GSE334503,CD155 (PVR),cognate,5350,,HS68
0.10278596087605918,0.0009657740592956543,0.6418555698964062,0.18334176973040223,0.5252534631292191,GSE334503,CD155 (PVR),cognate,4783,,HS75
0.13558287678678618,0.008647561073303223,0.7145453492088867,0.19318639846082994,0.6815624611083131,GSE334503,CD155 (PVR),cognate,4613,,HS86
0.12655917351876572,-0.05485224723815918,0.6652866524423195,0.19242356003603747,0.6354207735173187,GSE334503,CD155 (PVR),cognate,5422,,HS88
0.1303837933870686,-0.002545475959777832,0.7232182147745179,0.1815761449228122,0.8025754932933812,GSE334503,CD155 (PVR),cognate,3835,,HS93
0.10142670057406483,-0.06029057502746582,0.6745888437969292,0.17225227924754966,0.6113599043476685,GSE334503,CD155 (PVR),cognate,5077,,HS94
