replicate,source,target,analysis_role,null,spearman,noncognate_spearman,specificity_delta,r2,calibration_slope,sd_ratio,complete_gate_pass
137,GSE334503,CD3,sensitivity_non_direct,NullA,0.014762984368380718,0.005908738732463082,0.008854245635917636,-0.10752511024475098,0.03754679365654261,0.3219124835638366,False
137,GSE334503,CD3,sensitivity_non_direct,NullB,0.6812711204321633,0.19194047900616984,0.4893306414259935,0.2937544584274292,1.9737075385715623,0.32191250995783355,True
137,GSE334503,CD45RO,sensitivity_non_direct,NullA,0.00031211765586669656,-0.002826262349687573,0.00313838000555427,-0.05450558662414551,0.055865224862475346,0.02686097809110039,False
137,GSE334503,CD45RO,sensitivity_non_direct,NullB,0.0040422203136221,-0.0804518866207123,0.0844941069343344,-0.05428171157836914,0.2109823747491384,0.02686097809110039,False
137,GSE334503,CD19,primary_direct,NullA,0.0012807880378326,-0.0076855432023001736,0.008966331240132774,-0.2340458631515503,0.0006410061468657371,0.34913124595830614,False
137,GSE334503,CD19,primary_direct,NullB,0.2896239547333032,-0.19385416929996435,0.48347812403326756,0.0981898307800293,1.3634624955022163,0.34913124595830614,True
137,GSE334503,CD123,primary_direct,NullA,0.003728397598277137,0.0026865953997966194,0.0010418021984805177,-0.09547603130340576,0.0034658533309529734,0.30753924023608636,False
137,GSE334503,CD123,primary_direct,NullB,0.20075383564326302,-0.1309960057687206,0.3317498414119836,0.14557993412017822,1.2778094427812865,0.30753924023608636,True
137,GSE334503,CD11b,primary_direct,NullA,0.003128654982296581,0.0004738098359147473,0.002654845146381834,-0.0822681188583374,0.011236374065032067,0.23944208296333566,False
137,GSE334503,CD11b,primary_direct,NullB,0.30630164018892525,0.21907233086993214,0.08722930931899311,0.059186697006225586,1.2448720529272916,0.23944206308271773,False
137,GSE334503,CD103 (Integrin αE),primary_direct,NullA,-0.005200824835170634,0.0009606206576825716,-0.006161445492853205,-0.16732513904571533,-0.15626355874286357,0.03565084297507012,False
137,GSE334503,CD103 (Integrin αE),primary_direct,NullB,-0.010601411500761132,-0.005865510238580983,-0.004735901262180149,-0.16618704795837402,0.291567114203262,0.03565084297507012,False
137,GSE334503,CD303 (BDCA-2),primary_direct,NullA,0.00380873123062126,0.0043337738737722386,-0.0005250426431509785,-0.23298180103302002,0.026522554297176242,0.12161988163568493,False
137,GSE334503,CD303 (BDCA-2),primary_direct,NullB,0.10775688695233737,-0.026514708870073803,0.13427159582241116,-0.17503249645233154,1.9854157114443687,0.12161988163568493,False
137,GSE334503,CD1c,primary_direct,NullA,-0.0049986209306674455,-0.0005668776982342603,-0.004431743232433186,-0.44663918018341064,-0.007490918835849802,0.2654069926314024,False
137,GSE334503,CD1c,primary_direct,NullB,0.17394548331810905,-0.03547398815707657,0.20941947147518564,-0.27386999130249023,1.2188499347448205,0.2654070145754728,False
137,GSE334503,CD196 (CCR6),primary_direct,NullA,0.007136875068397655,5.2577189432531315e-05,0.007084297878965124,-0.26346027851104736,0.3559039754533579,0.028014240758832746,False
137,GSE334503,CD196 (CCR6),primary_direct,NullB,0.22147255690694242,-0.10030924159501503,0.32178179850195743,-0.25207245349884033,7.611221713358268,0.028014240758832746,False
137,GSE334503,CD27,primary_direct,NullA,0.005584608531893414,0.0009166792999947144,0.0046679292318987,-0.12208616733551025,0.008814282894161864,0.2478894884667035,False
137,GSE334503,CD27,primary_direct,NullB,0.4381047470257575,0.005627572701352675,0.43247717432440486,0.05308634042739868,1.434158942138022,0.2478894884667035,True
137,GSE334503,CD183 (CXCR3),primary_direct,NullA,0.003587970166762988,-0.0009088726563367589,0.004496842823099747,-2.029904365539551,0.018425016955142707,0.20587407885442965,False
137,GSE334503,CD183 (CXCR3),primary_direct,NullB,0.14380693204669115,-0.024696262664238834,0.16850319471092998,-1.9762613773345947,0.6512404900378672,0.20587407885442965,False
137,GSE334503,CD154,primary_direct,NullA,0.00018035658760160597,0.0038182818808532013,-0.0036379252932515955,-0.8496962785720825,-0.11158104140680744,0.026974741268771668,False
137,GSE334503,CD154,primary_direct,NullB,0.03254487086308348,-0.017073251889769624,0.04961812275285311,-0.8480829000473022,0.997082000467782,0.026974743755351728,False
137,GSE334503,CD141 (Thrombomodulin),primary_direct,NullA,0.004742698304171879,0.0051785625146550975,-0.00043586421048321874,-0.38668131828308105,0.012657826140241744,0.2554610020644095,False
137,GSE334503,CD141 (Thrombomodulin),primary_direct,NullB,0.17332664712789428,-0.009809870677529139,0.18313651780542342,-0.2969210147857666,0.7003686164255848,0.2554610020644095,False
137,GSE334503,CD161,primary_direct,NullA,0.01103480262404048,0.011737573079373075,-0.0007027704553325947,-0.30219268798828125,0.014968846472364307,0.5496217173583912,False
137,GSE334503,CD161,primary_direct,NullB,0.6214074710242043,-0.0581183982888547,0.679525869313059,0.4242329001426697,1.217325751265994,0.5496217619671219,True
137,GSE334503,CD69,primary_direct,NullA,0.002705219299737101,0.004051052619440092,-0.0013458333197029913,-0.017083168029785156,-0.0006260236590732607,0.1030873472281063,False
137,GSE334503,CD69,primary_direct,NullB,0.19278552685761,0.1475524940273074,0.04523303283030258,0.0011066198348999023,0.8552066162778924,0.1030873472281063,False
137,GSE334503,CD127 (IL-7Rα),primary_direct,NullA,0.016416056207383452,-0.0014317827298090222,0.017847838937192474,-0.1632692813873291,0.039264337513411234,0.4188786804252581,False
137,GSE334503,CD127 (IL-7Rα),primary_direct,NullB,0.7109607478131135,0.2500429628577047,0.46091778495540875,0.3423311114311218,1.4800553304756363,0.4188786804252581,True
137,GSE334503,CD274 (B7-H1; PD-L1),primary_direct,NullA,0.0022416344435858093,-0.0032315938663980783,0.005473228309983888,-0.04257333278656006,0.6494718620774673,0.0033090655452361396,False
137,GSE334503,CD274 (B7-H1; PD-L1),primary_direct,NullB,0.0025449419036275432,-0.015588658768962012,0.018133600672589557,-0.04257047176361084,0.7887573156196143,0.0033090655452361396,False
137,GSE334503,CD33,primary_direct,NullA,-0.0019018620203929274,0.0011392008605993565,-0.003041062880992284,-0.13566195964813232,-0.009485935607951397,0.19119274780863132,False
137,GSE334503,CD33,primary_direct,NullB,0.33703238601228425,-0.12065068787815963,0.4576830738904439,0.007460832595825195,1.9481681342981532,0.19119274780863132,True
